ability,"ability (n.) 能力、才幹
【詞性變化】
able (adj.) 有能力的
【搭配詞】
academic ability 學術能力
to the best of one's ability 竭盡所能
【例句】
She has the ability to solve complex problems quickly. (她有快速解決複雜問題的能力。)"
accident,"accident (n.) 事故、意外
【詞性變化】
accidental (adj.) 偶然的、意外的
【搭配詞】
car accident 車禍
by accident 偶然地
【例句】
He was injured in a serious traffic accident. (他在一場嚴重的交通意外中受傷了。)"
achieve,"achieve (v.) 達成、實現
【詞性變化】
achievement (n.) 成就、達成
【搭配詞】
achieve a goal 達成目標
achieve success 獲得成功
【例句】
You can achieve anything if you work hard enough. (如果你足夠努力，你可以實現任何事情。)"
admire,"admire (v.) 欽佩、欣賞
【詞性變化】
admiration (n.) 欽佩、贊賞
【搭配詞】
admire someone for their courage 因某人的勇氣而欽佩他
【例句】
I really admire the way you handled the situation. (我真的很欣賞你處理那種情況的方式。)"
admit,"admit (v.) 承認、准許進入
【詞性變化】
admission (n.) 承認、入場費
【搭配詞】
admit a mistake 承認錯誤
admit someone to the hospital 准許某人住院
【例句】
He refused to admit that he was wrong. (他拒絕承認他錯了。)"
adopt,"adopt (v.) 採用、收養
【詞性變化】
adoption (n.) 採用、收養
【搭配詞】
adopt a child 收養小孩
adopt a new policy 採用新政策
【例句】
The company decided to adopt a new marketing strategy. (公司決定採用新的營銷策略。)"
advantage,"advantage (n.) 優點、優勢
【詞性變化】
advantageous (adj.) 有利的
【搭配詞】
take advantage of 利用
have an advantage over 比...有優勢
【例句】
Knowing a foreign language is a great advantage. (會說外語是一個很大的優勢。)"
advice,"advice (n.) 建議、忠告
【詞性變化】
advise (v.) 建議、勸告
【搭配詞】
a piece of advice 一則建議
follow someone's advice 聽從某人的建議
【例句】
Let me give you some advice on your career. (讓我給你一些關於職業生涯的建議。)"
affect,"affect (v.) 影響
【詞性變化】
effect (n.) 影響、效果
【搭配詞】
adversely affect 產生不利影響
【例句】
The bad weather will affect the growth of crops. (惡劣的天氣將會影響農作物的生長。)"
afford,"afford (v.) 負擔得起、買得起
【詞性變化】
affordable (adj.) 負擔得起的
【搭配詞】
can afford to buy something 買得起某物
【例句】
I can't afford a new car right now. (我現在買不起新車。)"
agree,"agree (v.) 同意、贊成
【詞性變化】
agreement (n.) 協議、同意
【搭配詞】
agree with someone 同意某人
agree to a proposal 同意一項提議
【例句】
I completely agree with your opinion. (我完全同意你的觀點。)"
airport,"airport (n.) 機場
【搭配詞】
international airport 國際機場
arrive at the airport 到達機場
【例句】
We should get to the airport two hours before the flight. (我們應該在飛機起飛前兩小時到達機場。)"
allow,"allow (v.) 允許、准許
【詞性變化】
allowance (n.) 零用錢、津貼
【搭配詞】
allow someone to do something 允許某人做某事
【例句】
Smoking is not allowed in this building. (這棟建築內不准吸煙。)"
amount,"amount (n.) 數量、總額
【搭配詞】
a large amount of 大量的
the total amount 總金額
【例句】
A large amount of money was spent on the project. (這個專案花費了大量的資金。)"
announce,"announce (v.) 宣佈、宣告
【詞性變化】
announcement (n.) 宣佈、公告
【搭配詞】
announce a plan 宣佈一項計劃
【例句】
The government announced a new law today. (政府今天宣佈了一項新法律。)"
anxious,"anxious (adj.) 焦慮的、渴望的
【詞性變化】
anxiety (n.) 焦慮、掛念
【搭配詞】
feel anxious about 對...感到焦慮
be anxious to do something 渴望做某事
【例句】
She was anxious about the exam results. (她對考試結果感到焦慮。)"
apology,"apology (n.) 道歉
【詞性變化】
apologize (v.) 道歉
【搭配詞】
make an apology to someone 向某人道歉
accept an apology 接受道歉
【例句】
Please accept my sincere apology for the delay. (請接受我因延誤而表達的誠摯歉意。)"
appearance,"appearance (n.) 外表、出現
【詞性變化】
appear (v.) 出現、顯得
【搭配詞】
physical appearance 外貌
make an appearance 露面
【例句】
You shouldn't judge people by their appearance. (你不應該以貌取人。)"
apply,"apply (v.) 申請、應用
【詞性變化】
application (n.) 申請、應用程式
【搭配詞】
apply for a job 申請工作
apply to a university 申請大學
【例句】
He decided to apply for the position of manager. (他決定申請經理的職位。)"
appreciate,"appreciate (v.) 欣賞、感激
【詞性變化】
appreciation (n.) 欣賞、感謝
【搭配詞】
highly appreciate 非常感激
【例句】
I really appreciate your help. (我真的很感激你的幫助。)"
arrange,"arrange (v.) 安排、整理
【詞性變化】
arrangement (n.) 安排、約定
【搭配詞】
arrange a meeting 安排會議
arrange flowers 插花
【例句】
I need to arrange my schedule for next week. (我需要安排下週的行程。)"
arrive,"arrive (v.) 到達、抵達
【詞性變化】
arrival (n.) 到達、抵達
【搭配詞】
arrive at the airport 到達機場
arrive in London 到達倫敦
【例句】
We arrived at the hotel very late at night. (我們在深夜很晚才到達飯店。)"
artificial,"artificial (adj.) 人造的、虛假的
【搭配詞】
artificial intelligence (AI) 人工智慧
artificial light 人造光
【例句】
This plant is artificial; it doesn't need water. (這盆植物是人造的，不需要水。)"
assistance,"assistance (n.) 幫助、援助
【詞性變化】
assist (v.) 幫助、協助
【搭配詞】
financial assistance 財務援助
technical assistance 技術支援
【例句】
Do you need any assistance with your luggage? (你的行李需要幫忙嗎？)"
assume,"assume (v.) 假設、假定
【詞性變化】
assumption (n.) 假設
【搭配詞】
assume responsibility 承擔責任
【例句】
Don't assume that everyone knows the rules. (不要假設每個人都知道規則。)"
atmosphere,"atmosphere (n.) 大氣、氣氛
【搭配詞】
relaxed atmosphere 輕鬆的氣氛
Earth's atmosphere 地球的大氣層
【例句】
The restaurant has a very romantic atmosphere. (這家餐廳有一種非常浪漫的氣氛。)"
attack,"attack (v./n.) 攻擊
【搭配詞】
heart attack 心臟病發作
launch an attack 發動攻擊
【例句】
The soldiers were ordered to attack the enemy. (士兵們受命攻擊敵人。)"
